ID;titel;link;version;land;lyrics;language;audio;ffirstnote;1stnoteorder;ttimes;kkeys;lowestnote;lowestnote_higher_or_equal;highestnote;highestnote_lower_or_equal;contains_exclusively_these_notes;amount_of_note_values;amount_of_different_note_values_that_may_occur;note_values_that_may_not_occur;exclusive_note_values;lowest_note_value;lowest_note_value_equal_or_higher;highest_note_value;highest_note_value_equal_or_lower;amount_of_different_rest_values;rest_values_that_may_occur;lowest_rest_value;lowest_rest_value_equal_or_higher;highest_rest_value;highest_rest_value_equal_or_lower;rest_values_that_may_not_occur;amount_of_ties;ties_in_beats;repeats;repeats_dont_occur;repeats_order;pickup;accidentals;interval_smallest_note_value;min_interval_smallest_note_value;max_interval_smallest_note_value;amount_of_subsequent_smallest_note_values;min_amount_of_subsequent_smallest_note_values;max_amount_of_subsequent_smallest_note_values;max_amount_of_bars;amount_of_rhythmic_units;containing_rhythmic_units;containing_rhythmic_units_2;containing_rhythmic_units_3;containing_rhythmic_units_4;containing_rhythmic_units_5;containing_rhythmic_units_6;containing_rhythmic_units_7;containing_rhythmic_units_8;containing_rhythmic_units_9;containing_rhythmic_units_10;containing_rhythmic_units_11;containing_rhythmic_units_12;containing_rhythmic_units_13;containing_rhythmic_units_14;style;form;chords;notenwaarden;voor;does;not;contain;toon;vaste;voortekens;rustwaarden;voor;does;not;contain;noten;voor;does;not;contain;;;;;;;;;;;;;;;;;;;intervals
14000;Ah, Poor Bird ;https%3A%2F%2F1pagemusic.com%2Fmei%2FAh_Poor_Bird%2FAh_Poor_Bird_01_C_low.krn;1_C/Am_low;America;yes;English;no;a;27;4/4;Am;a;27;a';58;a;b;c';d';e';g';a';3;3;0.5;1;2;;;0.5;1;2;;;0.5;0.5;2;2;0;0;0;0;0;0;0;0;0;no;no;1;0;no;;4;4;4;4;4;4;8;2;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;Folk;Song;Round;Am;–;E7;+0.5+;+1+;+2+;yes;2-26 4-3/2 8
14001;Ah, Poor Bird ;https%3A%2F%2F1pagemusic.com%2Fmei%2FAh_Poor_Bird%2FAh_Poor_Bird_02_C_mid.krn;2_C/Am_mid;America;yes;English;no;a';58;4/4;Am;a';58;a'';89;a';b';c'';d'';e'';g'';a'';3;3;0.5;1;2;;;0.5;1;2;;;0.5;0.5;2;2;0;0;0;0;0;0;0;0;0;no;no;1;0;no;;4;4;4;4;4;4;8;2;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;44+1+1+2_ml;44+0.5+0.5+0.5+0.5+1+0.5+0.5_ms;Folk;Song;Round;Am;–;E7;;;;;2-26 4-3/2 8
